X	Y	SpeciesID	SeedAbundance	SeedlingAbundance	AdultAbundance
1	1	1	245	353950	518897	476624
2	1	1	83	0	0	0
3	1	1	238	0	0	0
4	1	1	204	1997960	2971430	2742270
5	1	1	98	0	0	0
6	1	1	386	1414630	2266540	2115380
7	1	1	373	0	0	0
8	1	1	213	0	0	0
9	1	1	346	0	0	0
10	1	1	356	24835	65266	64343
11	1	1	281	0	0	0
12	1	1	123	0	0	0
13	1	1	64	0	0	0
14	1	1	278	34	214	210
15	1	1	8	0	0	0
16	1	1	232	314	6550	6328
17	1	1	60	0	0	0
18	1	1	159	0	0	0
19	1	1	270	0	0	0
20	1	1	93	0	0	0
21	1	1	147	3925	11444	11027
22	1	1	257	0	0	0
23	1	1	224	0	0	0
24	1	1	28	0	0	0
25	1	1	11	13323000	20065000	15111000
26	1	1	344	0	0	0
27	1	1	334	0	0	0
28	1	1	277	0	0	0
29	1	1	255	65	216	238
30	1	1	290	0	0	0
31	1	1	389	0	0	0
32	1	1	68	292	1398	1458
33	1	1	160	143	584	604
34	1	1	155	9	0	0
35	1	1	367	0	0	0
36	1	1	26	0	0	0
37	1	1	272	0	0	0
38	1	1	22	0	0	0
39	1	1	80	0	0	0
40	1	1	191	0	0	0
41	1	1	371	0	0	0
42	1	1	187	0	0	0
43	1	1	166	3959	10925	10662
44	1	1	382	91	1416	1408
45	1	1	79	0	0	0
46	1	1	113	0	0	0
47	1	1	196	100	355	369
48	1	1	353	0	0	0
49	1	1	285	0	0	0
50	1	1	361	115695	201122	190136
51	1	1	309	0	0	0
52	1	1	118	0	0	0
53	1	1	384	0	0	0
54	1	1	372	295	2130	2097
55	1	1	15	0	0	0
56	1	1	308	0	0	0
57	1	1	275	0	0	0
58	1	1	34	0	0	0
59	1	1	158	0	0	0
60	1	1	47	0	0	0
61	1	1	86	51	257	247
62	1	1	323	25155	40866	38619
63	1	1	342	47	552	582
64	1	1	339	0	0	0
65	1	1	63	47	596	628
66	1	1	7	0	0	0
67	1	1	51	374623	642354	606971
68	1	1	264	0	0	0
69	1	1	38	0	0	0
70	1	1	186	0	0	0
71	1	1	215	885585	1487050	1395620
72	1	1	226	136398	385611	336729
73	1	1	175	14	109	102
74	1	1	261	0	0	0
75	1	1	360	1227670	2049940	1927210
76	1	1	345	0	0	0
