X	Y	SpeciesID	SeedAbundance	SeedlingAbundance	AdultAbundance
1	1	1	1	0	0	0
2	2	1	1	0	0	0
3	3	1	1	0	0	0
4	4	1	1	0	0	0
5	5	1	1	0	0	0
6	6	1	1	0	0	0
7	7	1	1	0	0	0
8	8	1	1	0	0	0
9	9	1	1	0	0	0
10	10	1	1	0	0	0
11	11	1	1	0	0	0
12	12	1	1	0	0	0
13	13	1	1	0	0	0
14	14	1	1	0	0	0
15	15	1	1	0	0	0
16	1	2	1	0	0	0
17	2	2	1	0	0	0
18	3	2	1	0	0	0
19	4	2	1	0	0	0
20	5	2	1	0	0	0
21	6	2	1	0	0	0
22	7	2	1	0	0	0
23	8	2	1	0	0	0
24	9	2	1	0	0	0
25	10	2	1	0	0	0
26	11	2	1	0	0	0
27	12	2	1	0	0	0
28	13	2	1	0	0	0
29	14	2	1	0	0	0
30	15	2	1	0	0	0
31	1	3	1	0	0	0
32	2	3	1	0	0	0
33	3	3	1	0	0	0
34	4	3	1	0	0	0
35	5	3	1	0	0	0
36	6	3	1	0	0	0
37	7	3	1	0	0	0
38	8	3	1	0	0	0
39	9	3	1	0	0	0
40	10	3	1	0	0	0
41	11	3	1	0	0	0
42	12	3	1	0	0	0
43	13	3	1	0	0	0
44	14	3	1	0	0	0
45	15	3	1	0	0	0
46	1	4	1	0	0	0
47	2	4	1	0	0	0
48	3	4	1	0	0	0
49	4	4	1	0	0	0
50	5	4	1	0	0	0
51	6	4	1	0	0	0
52	7	4	1	0	0	0
53	8	4	1	0	0	0
54	9	4	1	0	0	0
55	10	4	1	0	0	0
56	11	4	1	0	0	0
57	12	4	1	0	0	0
58	13	4	1	0	0	0
59	14	4	1	0	0	0
60	15	4	1	0	0	0
61	1	5	1	0	0	0
62	2	5	1	0	0	0
63	3	5	1	0	0	0
64	4	5	1	0	0	0
65	5	5	1	0	0	0
66	6	5	1	0	0	0
67	7	5	1	0	0	0
68	8	5	1	0	0	0
69	9	5	1	0	0	0
70	10	5	1	0	0	0
71	11	5	1	0	0	0
72	12	5	1	0	0	0
73	13	5	1	0	0	0
74	14	5	1	0	0	0
75	15	5	1	0	0	0
76	1	6	1	0	0	0
77	2	6	1	0	0	0
78	3	6	1	0	0	0
79	4	6	1	0	0	0
80	5	6	1	0	0	0
81	6	6	1	0	0	0
82	7	6	1	0	0	0
83	8	6	1	0	0	0
84	9	6	1	0	0	0
85	10	6	1	0	0	0
86	11	6	1	0	0	0
87	12	6	1	0	0	0
88	13	6	1	0	0	0
89	14	6	1	0	0	0
90	15	6	1	0	0	0
91	1	7	1	0	0	0
92	2	7	1	0	0	0
93	3	7	1	0	0	0
94	4	7	1	0	0	0
95	5	7	1	0	0	0
96	6	7	1	0	0	0
97	7	7	1	0	0	0
98	8	7	1	0	0	0
99	9	7	1	0	0	0
100	10	7	1	0	0	0
101	11	7	1	0	0	0
102	12	7	1	0	0	0
103	13	7	1	0	0	0
104	14	7	1	0	0	0
105	15	7	1	0	0	0
106	1	8	1	0	0	0
107	2	8	1	0	0	0
108	3	8	1	0	0	0
109	4	8	1	0	0	0
110	5	8	1	0	0	0
111	6	8	1	0	0	0
112	7	8	1	0	0	0
113	8	8	1	0	0	0
114	9	8	1	0	0	0
115	10	8	1	0	0	0
116	11	8	1	0	0	0
117	12	8	1	0	0	0
118	13	8	1	0	0	0
119	14	8	1	0	0	0
120	15	8	1	0	0	0
121	1	9	1	0	0	0
122	2	9	1	0	0	0
123	3	9	1	0	0	0
124	4	9	1	0	0	0
125	5	9	1	0	0	0
126	6	9	1	0	0	0
127	7	9	1	0	0	0
128	8	9	1	0	0	0
129	9	9	1	0	0	0
130	10	9	1	0	0	0
131	11	9	1	0	0	0
132	12	9	1	0	0	0
133	13	9	1	0	0	0
134	14	9	1	0	0	0
135	15	9	1	0	0	0
