SpeciesID	SeedMass	SeedlingMass	AdultMass	Annual	AltitudeOptimum	AltitudeTolerance	MaximumSuitability	MeanDispDist	LongDistDispAbility	AlleeThreshold
1	1	7.35095	17600	88000	0	14	2	0.97	0.01901	0.95	348
2	2	0.0191833	16	80	1	10	8	0.59	0.02701	0.49	-0.046
3	3	18.0804	1940000	9700000	0	10	1	0.53	0.04401	0.19	-0.956
4	4	14.803	1840000	9200000	0	2	8	0.21	0.01601	0.51	-0.274
5	5	0.0395474	68	340	0	11	7	0.45	0.04201	0.91	655
6	6	2.21406	15400	77000	0	11	5	0.33	0.01201	0.56	-0.538
7	7	0.164446	880000	4400000	0	2	2	0.22	0.01901	0.26	-0.463
8	8	14.803	60000	3e+05	0	5	5	0.26	0.03001	0.06	407
9	9	0.117473	600	3000	0	7	3	0.2	0.01401	0.11	-0.585
10	10	0.365982	780000	3900000	0	7	5	0.62	0.04801	0.67	452
11	11	0.0383667	64	320	0	14	6	0.94	0.03301	0.92	-0.045
12	12	0.0469894	96	480	0	5	3	0.81	0.00801	0.04	-0.009
13	13	0.0639844	178	890	1	3	1	0.32	0.04701	0.17	-0.544
14	14	0.0516527	116	580	1	10	8	0.37	0.01201	0.92	-0.692
15	15	0.0512055	114	570	0	9	3	0.05	0.00601	0.16	-0.2
16	16	0.0377624	62	310	1	1	2	0.6	0.04901	0.39	-0.918
17	17	0.056745	140	700	1	13	1	0	0.00901	0.69	-0.488
18	18	0.200855	620000	3100000	0	7	5	0.81	0.01901	0.75	-0.368
19	19	0.464973	9400	47000	0	10	2	0.65	0.00901	0.95	-0.627
20	20	0.0149182	14600	73000	0	3	7	0.67	0.03401	0.36	750
21	21	0.121825	12000	60000	0	11	9	0.97	0.00201	0.23	-0.525
22	22	0.0134986	17200	86000	0	10	2	0.67	0.01601	0.75	-0.292
23	23	18.0804	1700000	8500000	0	9	1	0.73	0.01101	0.6	303
24	24	0.0377624	62	310	0	10	1	0.9	0.00301	0.95	-0.954
25	25	3.303	14600	73000	0	15	5	0.98	0.01001	0.79	-0.243
26	26	1.3429	14800	74000	0	1	2	0.52	0.04801	0.47	-0.062
27	27	0.0395474	68	340	0	10	8	0.26	0.02801	0.11	-0.959
28	28	0.121825	1300000	6500000	0	2	9	0.61	0.00801	0.28	-0.298
29	29	0.603403	1740000	8700000	0	9	6	0.99	0.00601	0.88	-0.701
30	30	0.0332012	1100000	5500000	0	9	1	0.77	0.03801	0.94	-0.422
31	31	6.65142	16000	80000	0	1	2	0.02	0.04101	0.3	-0.78
