X	Y	Temperature
1	1	1	11
2	2	1	11
3	3	1	11
4	4	1	11
5	5	1	11
6	6	1	11
7	7	1	11
8	8	1	11
9	9	1	11
10	10	1	11
11	11	1	11
12	12	1	11
13	13	1	11
14	14	1	11
15	15	1	11
16	1	2	12
17	2	2	12
18	3	2	12
19	4	2	12
20	5	2	12
21	6	2	12
22	7	2	12
23	8	2	12
24	9	2	12
25	10	2	12
26	11	2	12
27	12	2	12
28	13	2	12
29	14	2	12
30	15	2	12
31	1	3	13
32	2	3	13
33	3	3	13
34	4	3	13
35	5	3	13
36	6	3	13
37	7	3	13
38	8	3	13
39	9	3	13
40	10	3	13
41	11	3	13
42	12	3	13
43	13	3	13
44	14	3	13
45	15	3	13
46	1	4	14
47	2	4	14
48	3	4	14
49	4	4	14
50	5	4	14
51	6	4	14
52	7	4	14
53	8	4	14
54	9	4	14
55	10	4	14
56	11	4	14
57	12	4	14
58	13	4	14
59	14	4	14
60	15	4	14
61	1	5	15
62	2	5	15
63	3	5	15
64	4	5	15
65	5	5	15
66	6	5	15
67	7	5	15
68	8	5	15
69	9	5	15
70	10	5	15
71	11	5	15
72	12	5	15
73	13	5	15
74	14	5	15
75	15	5	15
76	1	6	16
77	2	6	16
78	3	6	16
79	4	6	16
80	5	6	16
81	6	6	16
82	7	6	16
83	8	6	16
84	9	6	16
85	10	6	16
86	11	6	16
87	12	6	16
88	13	6	16
89	14	6	16
90	15	6	16
91	1	7	17
92	2	7	17
93	3	7	17
94	4	7	17
95	5	7	17
96	6	7	17
97	7	7	17
98	8	7	17
99	9	7	17
100	10	7	17
101	11	7	17
102	12	7	17
103	13	7	17
104	14	7	17
105	15	7	17
106	1	8	18
107	2	8	18
108	3	8	18
109	4	8	18
110	5	8	18
111	6	8	18
112	7	8	18
113	8	8	18
114	9	8	18
115	10	8	18
116	11	8	18
117	12	8	18
118	13	8	18
119	14	8	18
120	15	8	18
121	1	9	19
122	2	9	19
123	3	9	19
124	4	9	19
125	5	9	19
126	6	9	19
127	7	9	19
128	8	9	19
129	9	9	19
130	10	9	19
131	11	9	19
132	12	9	19
133	13	9	19
134	14	9	19
135	15	9	19
136	1	10	20
137	2	10	20
138	3	10	20
139	4	10	20
140	5	10	20
141	6	10	20
142	7	10	20
143	8	10	20
144	9	10	20
145	10	10	20
146	11	10	20
147	12	10	20
148	13	10	20
149	14	10	20
150	15	10	20
151	1	11	21
152	2	11	21
153	3	11	21
154	4	11	21
155	5	11	21
156	6	11	21
157	7	11	21
158	8	11	21
159	9	11	21
160	10	11	21
161	11	11	21
162	12	11	21
163	13	11	21
164	14	11	21
165	15	11	21
166	1	12	22
167	2	12	22
168	3	12	22
169	4	12	22
170	5	12	22
171	6	12	22
172	7	12	22
173	8	12	22
174	9	12	22
175	10	12	22
176	11	12	22
177	12	12	22
178	13	12	22
179	14	12	22
180	15	12	22
181	1	13	23
182	2	13	23
183	3	13	23
184	4	13	23
185	5	13	23
186	6	13	23
187	7	13	23
188	8	13	23
189	9	13	23
190	10	13	23
191	11	13	23
192	12	13	23
193	13	13	23
194	14	13	23
195	15	13	23
196	1	14	24
197	2	14	24
198	3	14	24
199	4	14	24
200	5	14	24
201	6	14	24
202	7	14	24
203	8	14	24
204	9	14	24
205	10	14	24
206	11	14	24
207	12	14	24
208	13	14	24
209	14	14	24
210	15	14	24
211	1	15	25
212	2	15	25
213	3	15	25
214	4	15	25
215	5	15	25
216	6	15	25
217	7	15	25
218	8	15	25
219	9	15	25
220	10	15	25
221	11	15	25
222	12	15	25
223	13	15	25
224	14	15	25
225	15	15	25
